,,,127,deepl,,překlad ok,celkem vět,podíl ok
5,4,c,Translation:  Místem založení společnosti Trane je město La Crosse ve státě Wisconsin.,,,,,
,,,"Lexicalisation: Trane was founded in La Crosse, Wisconsin.",,,,,
5,5,a,Translation:  Společnost Trane byla založena v La Crosse ve Wisconsinu.,,,,,
,,,"RDF triples:  ['Austin,_Texas | populationDensity | 1296.65 (inhabitants per square kilometre)', 'Austin,_Texas | areaTotal | 703.95 (square kilometres)']",,,,,
,,,"Lexicalisation: The population density of Austin, Texas, is 1296.65 inhabitants per sq km and its area is 703.95 sq. km.",,,,,
5,5,a,"Translation:  Hustota zalidnění texaského Austinu je 1296,65 obyvatel na km² a jeho rozloha činí 703,95 km².",,,,,
,,,"Lexicalisation: Austin, Texas covers an area of 703.95 square kilometres and has 1296.65 inhabitants for each of those sq kilometres.",,,,,
5,5,a,"Translation:  Austin v Texasu má rozlohu 703,95 km² a na každém kilometru čtverečním žije 1296,65 obyvatel.",,,,,
,,,"Lexicalisation: Austin, Texas has a population density of 1296.65 inhabitants per sq km and a total area of 703.95 square kilometres.",,,,,
5,5,a,"Translation:  Austin v Texasu má hustotu zalidnění 1296,65 obyvatel na km² a celkovou rozlohu 703,95 km².",,,,,
,,,"RDF triples:  ['Agremiação_Sportiva_Arapiraquense | league | Campeonato_Brasileiro_Série_C', 'Campeonato_Brasileiro_Série_C | country | Brazil', 'Agremiação_Sportiva_Arapiraquense | manager | Vica']",,,,,
,,,Lexicalisation: Agremiação Sportiva Arapiraquense are managed by Vica and play in the Campeonato Brasileiro Série C league in Brazil.,,,,,
5,5,a,"Translation:  Tým Agremiação Sportiva Arapiraquense, který vede Vica, hraje brazilskou ligu Campeonato Brasileiro Série C.",,,,,
,,,Lexicalisation: Agremiação Sportiva Arapiraquense play in Brazil's Campeonato Brasileiro Série C league and are managed by Vica.,,,,,
5,5,a,Translation:  Agremiação Sportiva Arapiraquense hraje brazilskou ligu Campeonato Brasileiro Série C a jeho manažerem je Vica.,,,,,
,,,"RDF triples:  ['AIP_Advances | abbreviation | ""AIP Adv.""']",,,,,
,,,"Lexicalisation: ""AIP Adv."" is the abbreviation of AIP Advances.",,,,,
5,5,a,"Translation:  ""AIP Adv."" je zkratka pro AIP Advances.",,,,,
,,,Lexicalisation: AIP Advances is abbreviated to AIP Adv.,,,,,
5,5,a,Translation:  AIP Advances se zkracuje na AIP Adv.,,,,,
,,,"RDF triples:  ['American_Civil_War | commander | Jefferson_Davis', 'Battle_of_Salem_Church | isPartOfMilitaryConflict | American_Civil_War', 'Aaron_S._Daggett | battle | Battle_of_Salem_Church']",,,,,
,,,"Lexicalisation: Aaron S Daggett took part in the Battle of Salem Church, which was part of the American Civil War, where Jefferson Davis was a commander.",,,,,
5,5,a,"Translation:  Aaron S. Daggett se zúčastnil bitvy u Salem Church, která byla součástí americké občanské války, kde byl Jefferson Davis velitelem.",,,,,
,,,"Lexicalisation: Aaron S. Daggett fought in the Battle of Salem Church, in the American Civil War. Jefferson Davis was one of the commanders in the war.",,,,,
5,5,a,Translation:  Aaron S. Daggett bojoval v bitvě u Salem Church v americké občanské válce. Jefferson Davis byl jedním z velitelů v této válce.,,,,,
,,,Lexicalisation: Jefferson Davis was a commander in the American Civil War of which the Battle of Salem Church was part and in which Aaron S Daggett fought.,,,,,
5,5,a,"Translation:  Jefferson Davis byl velitelem v americké občanské válce, jejíž součástí byla i bitva u Salem Church a v níž bojoval Aaron S. Daggett.",,,,,
,,,"RDF triples:  ['United_States | leader | Barack_Obama', 'A_Severed_Wasp | language | English_language', 'English_language | spokenIn | Great_Britain', 'A_Severed_Wasp | country | United_States']",,,,,
,,,"Lexicalisation: A Severed Wasp is from the United States, where the leader is Barack Obama. A Severed Wasp is written in English which is the language spoken in Great Britain.",,,,,
3,3,c,"Translation:  Odříznutá vosa je ze Spojených států, kde je vůdcem Barack Obama. A Severed Wasp je napsán v angličtině, což je jazyk, kterým se mluví ve Velké Británii.",,,,,
,,,"Lexicalisation: A Severed Wasp is from the United States, which president is Barack Obama, and it is in English language, which is spoken as well in Great Britain.",,,,,
5,5,a,"Translation:  A Severed Wasp je ze Spojených států, jejichž prezidentem je Barack Obama, a je v angličtině, kterou se mluví i ve Velké Británii.",,,,,
,,,Lexicalisation: The president of the United States is Barack Obama and is the origin of A Severed Wasp. A Severed Wasp is written in English (also spoken in Great Britain).,,,,,
1,5,c,"Translation:  Prezidentem Spojených států je Barack Obama, který je původcem knihy A Severed Wasp. A Severed Wasp je napsán v angličtině (kterou se mluví také ve Velké Británii).",,,,,
,,,RDF triples:  ['Marv_Wolfman | award | Inkpot_Award'],,,,,
,,,Lexicalisation: Marv Wolfman won the Inkpot Award.,,,,,
5,5,a,Translation:  Marv Wolfman získal cenu Inkpot.,,,,,
,,,Lexicalisation: Marv Wolfman was awarded the Inkpot Award.,,,,,
5,5,a,Translation:  Marv Wolfman získal cenu Inkpot.,,,,,
,,,"RDF triples:  ['1000_Piazzia | epoch | 2015-06-27', '1000_Piazzia | formerName | ""1923 NZ1951 OB""']",,,,,
,,,Lexicalisation: The epoch of 1000 Piazzia-formerly known as 1923 NZ1951OB -is 2015-06-27.,,,,,
5,5,a,Translation:  Epocha 1000 Piazzia - dříve známá jako 1923 NZ1951OB - je 2015-06-27.,,,,,
,,,"Lexicalisation: 1000 Piazzia was formerly called ""1923 NZ1951 OB"" and has the epoch date of 27 June 2015.",,,,,
5,3,c,"Translation:  1000 Piazzia se dříve jmenovala ""1923 NZ1951 OB"" a má datum epochy 27. června 2015.",,,,,
,,,"Lexicalisation: 1000 Piazzia, formerly known as 1923NZ1951 OB, has an epoch of 2015-06-27.",,,,,
5,5,a,"Translation:  1000 Piazzia, dříve známý jako 1923NZ1951 OB, má epochu 2015-06-27.",,,,,
,,,"RDF triples:  ['Acharya_Institute_of_Technology | country | ""India""', 'Acharya_Institute_of_Technology | numberOfPostgraduateStudents | 700', 'Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.""']",,,,,
,,,"Lexicalisation: The Acharya Institute of Technology is in Soldevanahalli, India its address is Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090. It has 700 postgraduate students.",,,,,
5,5,a,"Translation:  Acharya Institute of Technology se nachází v Soldevanahalli, Indie, jeho adresa je Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore - 560090. Má 700 postgraduálních studentů.",,,,,
,,,"Lexicalisation: The Acharya Institute of Technology has 700 post-graduate students and is located in Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore, India, 560090.",,,,,
5,5,a,"Translation:  Acharya Institute of Technology má 700 postgraduálních studentů a nachází se v Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore, Indie, 560090.",,,,,
,,,RDF triples:  ['Appleton_International_Airport | 1stRunwayLengthFeet | 8002'],,,,,
,,,Lexicalisation: Appleton International Airport is 1st 8002 runway length.,,,,,
,,,Translation:  Mezinárodní letiště Appleton má 1. 8002 vzletových a přistávacích drah.,,,,,
,,,Lexicalisation: The first runway of Appleton International Airport has a length of 8002 feet.,,,,,
5,5,a,Translation:  První dráha mezinárodního letiště Appleton má délku 8002 stop.,,,,,
,,,Lexicalisation: The 1st runway length in feet of Appleton International Airport is 8002.,,,,,
5,5,a,Translation:  Délka 1. vzletové a přistávací dráhy letiště Appleton International Airport ve stopách je 8002.,,,,,
,,,"RDF triples:  ['AC_Hotel_Bella_Sky_Copenhagen | tenant | Marriott_International', 'AC_Hotel_Bella_Sky_Copenhagen | location | Copenhagen', 'AC_Hotel_Bella_Sky_Copenhagen | architect | 3XN']",,,,,
,,,Lexicalisation: The tenant of the AC Hotel Bella Sky (designed by architect 3XN) in Copenhagen is the Marriott International Hotel.,,,,,
5,5,a,Translation:  Nájemcem AC Hotelu Bella Sky (navrženého architektem 3XN) v Kodani je hotel Marriott International.,,,,,
,,,Lexicalisation: Marriott International is the tenant of AC Hotel Bella Sky in Copenhagen and the architect was 3XN.,,,,,
5,5,a,Translation:  Nájemcem AC Hotelu Bella Sky v Kodani je společnost Marriott International a architektem byla společnost 3XN.,,,,,
,,,Lexicalisation: The architect of the AC Hotel Bella Sky in Copenhagen was 3XN and the tenant of the hotel is the Marriott International Hotel.,,,,,
5,5,a,Translation:  Architektem AC Hotelu Bella Sky v Kodani byla společnost 3XN a nájemcem hotelu je společnost Marriott International Hotel.,,,,,
,,,"RDF triples:  ['Java | ethnicGroup | Javanese_people', 'Singapore | leader | Halimah_Yacob', 'Ayam_penyet | region | Singapore', 'Ayam_penyet | country | Java']",,,,,
,,,"Lexicalisation: The Javanese people are an ethnic group of Java. Singapore's leader is Halimah Yacob. Ayam penyet is a dish from Java, Singapore.",,,,,
5,4,c,Translation:  Jávané jsou etnickou skupinou Jávy. Vůdkyní Singapuru je Halimah Yacobová. Ayam penyet je jídlo z Jávy v Singapuru.,,,,,
,,,Lexicalisation: Ayam penyet is from the Java and Singapore regions. The Javanese people are an ethnic group of Java and Halimah Yacob is a leader of Singapore.,,,,,
5,4,c,Translation:  Ayam penyet pochází z Jávy a Singapuru. Javánci jsou etnickou skupinou Jávy a Halimah Yacobová je vůdkyní Singapuru.,,,,,
,,,"RDF triples:  ['Alan_Bean | mission | Apollo_12', 'Apollo_12 | operator | NASA', 'Alan_Bean | occupation | Test_pilot', 'Alan_Bean | birthPlace | Wheeler,_Texas', 'Alan_Bean | status | ""Retired""', 'Alan_Bean | birthDate | ""1932-03-15""', 'Alan_Bean | almaMater | ""UT Austin, B.S. 1955""']",,,,,
,,,"Lexicalisation: Alan Bean was born on March 15, 1932 in Wheeler Texas. He graduated from UT Austin with a BSc. in 1955. Bean worked as a test pilot and was part of Apollo 12, which was run by NASA. He is retired.",,,,,
5,5,a,"Translation:  Alan Bean se narodil 15. března 1932 v texaském Wheeleru. V roce 1955 získal bakalářský titul na univerzitě v Austinu. Bean pracoval jako zkušební pilot a byl součástí programu Apollo 12, který řídila NASA. Je v důchodu.",,,,,
,,,"Lexicalisation: Alan Bean was born in Wheeler, Texas on March 15th, 1932. He graduated from UT Austin in 1955 with a B.S. He is a retired test pilot, who was on the crew of the NASA-operated Apollo 12.",,,,,
5,5,a,"Translation:  Alan Bean se narodil 15. března 1932 ve Wheeleru v Texasu. V roce 1955 absolvoval bakalářské studium na UT Austin. Je vysloužilým zkušebním pilotem, který byl členem posádky Apolla 12, které řídila NASA.",,,,,
,,,"Lexicalisation: Alan Bean was born on March 15, 1932 in Wheeler Texas. He graduated from UT Austin in 1955 with a B.S and became a Test Pilot. He was part of the Apollo 12 crew for NASA and is now retired.",,,,,
5,5,a,Translation:  Alan Bean se narodil 15. března 1932 v texaském Wheeleru. V roce 1955 absolvoval bakalářské studium na UT Austin a stal se zkušebním pilotem. Byl členem posádky Apolla 12 pro NASA a nyní je v důchodu.,,,,,
,,,"RDF triples:  ['Abilene,_Texas | populationDensity | 429.9 (inhabitants per square kilometre)']",,,,,
,,,"Lexicalisation: The total population density of Abilene, Texas is 429.9 inhabitants per sq km.",,,,,
5,5,a,"Translation:  Celková hustota zalidnění města Abilene v Texasu je 429,9 obyvatel na km².",,,,,
,,,"Lexicalisation: Abilene, Texas has a population density of 429.9 inhabitants per square kilometre.",,,,,
5,5,a,"Translation:  Hustota zalidnění města Abilene v Texasu je 429,9 obyvatel na kilometr čtvereční.",,,,,
,,,"Lexicalisation: Abilene, Texas, has a population density of 429.9 (inhabitants per square kilometre).",,,,,
4,5,c,"Translation:  Hustota zalidnění města Abilene v Texasu je 429,9 obyvatel na kilometr čtvereční.",,,,,
,,,"RDF triples:  ['Al-Taqaddum_Air_Base | runwayLength | 4019.0', 'Al-Taqaddum_Air_Base | cityServed | Fallujah', 'Al-Taqaddum_Air_Base | elevationAboveTheSeaLevel | 84.0', 'Al-Taqaddum_Air_Base | location | Habbaniyah']",,,,,
,,,Lexicalisation: Al-Taqaddum Air Base serves the city of Fallujah and is located in Habbaniyah. The airbase is 84 metres above sea level and has a runway length of 4019.,,,,,
5,5,a,Translation:  Letecká základna Al-Taqaddum slouží městu Fallúdža a nachází se v Habbáníji. Letecká základna se nachází v nadmořské výšce 84 metrů a její vzletová a přistávací dráha je dlouhá 4019 metrů.,,,,,
,,,Lexicalisation: The Al Taqaddum Air Base serves the city of Fallujah and is located in Habbaniyah. Its runway is 4019 long and is 84 meters above sea level.,,,,,
5,5,a,Translation:  Letecká základna Al Taqaddum slouží městu Fallúdža a nachází se v Habbáníji. Její vzletová a přistávací dráha je dlouhá 4019 metrů a nachází se v nadmořské výšce 84 metrů.,,,,,
,,,"Lexicalisation: Al Taqaddum Air Base located in Habbaniyah, serves the city of Fallujah. It is 84.0 metres above sea level. Its runway is 4,019 long.",,,,,
5,5,a,"Translation:  Letecká základna Al Taqaddum se nachází v Habbaniyah a slouží městu Fallujah. Nachází se v nadmořské výšce 84,0 m. Její vzletová a přistávací dráha je dlouhá 4 019 metrů.",,,,,
,,,RDF triples:  ['Armin_van_Buuren | genre | House_music'],,,,,
,,,Lexicalisation: Armin van Buuren plays House music.,,,,,
5,5,a,Translation:  Armin van Buuren hraje house music.,,,,,
,,,Lexicalisation: Armin van Buuren's genre is House music.,,,,,
5,5,a,Translation:  Žánrem hudby Armina van Buurena je house music.,,,,,
,,,Lexicalisation: Armin van Buuren performs house music.,,,,,
5,5,a,Translation:  Armin van Buuren hraje house music.,,,,,
,,,"RDF triples:  ['Ashgabat_International_Airport | operatingOrganisation | Turkmenistan_Airlines', 'Turkmenistan_Airlines | headquarter | Turkmenistan', 'Ashgabat_International_Airport | runwayLength | 900.0', 'Turkmenistan_Airlines | hubAirport | Turkmenabat_Airport', 'Turkmenistan_Airlines | headquarter | Ashgabat']",,,,,
,,,Lexicalisation: Turkmenistan airlines have their HQ in Turkmenistan and Ashgabat and their hub at Turkmenabat airport. They are the operating organisation for Ashgabat International Airport which has a runway length of 900.0.,,,,,
5,3,c,"Translation:  Turkmenistánské aerolinie mají své ústředí v Turkmenistánu a Ašchabadu a svůj hub na letišti Turkmenabat. Jsou provozovatelem mezinárodního letiště Ašchabad, jehož dráha má délku 900,0.",,,,,
,,,"Lexicalisation: The operating organization for Ashgabat International Airport is called Turkmenistan Airlines whose headquarters is in Ashgabat, Turkmenistan. Its runway length is 900 m. Turkmenabat airport is the hub for Turkmenistan airlines.",,,,,
3,5,c,Translation:  Provozovatelem mezinárodního letiště Ašchabad je společnost Turkmenistan Airlines se sídlem v Ašchabadu v Turkmenistánu. Délka jeho vzletové a přistávací dráhy je 900 m. Letiště Turkmenabat je uzlovým letištěm pro turkmenské letecké společnosti.,,,,,
,,,"Lexicalisation: The operating organization for Ashgabat International Airport is called Turkmenistan Airlines; the Turkmenabat Airport is the hub for the Airline. The headquarters of Turkmenistan Airlines are in Ashgabat, Turkmenistan. The Airport has a runway length of 900.0.",,,,,
3,3,c,"Translation:  Provozní organizace mezinárodního letiště Ašchabad se nazývá Turkmenistan Airlines; letiště Turkmenabat je centrem této letecké společnosti. Sídlo společnosti Turkmenistan Airlines se nachází v Ašchabadu v Turkmenistánu. Délka vzletové a přistávací dráhy letiště je 900,0 m.",,,,,
,,,"RDF triples:  ['Appleton,_Wisconsin | isPartOf | Kimberly,_Wisconsin']",,,,,
,,,"Lexicalisation: Appleton, Wisconsin is part of Kimberly, Wisconsin.",,,,,
5,5,a,"Translation:  Appleton, Wisconsin je součástí města Kimberly, Wisconsin.",,,,,
,,,"RDF triples:  ['107_Camilla | discoverer | N._R._Pogson', 'N._R._Pogson | deathPlace | Chennai', 'N._R._Pogson | birthPlace | Nottingham', '107_Camilla | discovered | 2001-03-01', 'N._R._Pogson | nationality | England']",,,,,
,,,Lexicalisation: The British NR Pogson (born Nottingham died Chennai) discovered 107 Camilla on 1 March 2001.,,,,,
5,3,c,Translation:  Britský NR Pogson (narozen Nottingham zemřel Chennai) objevil 107 Camilla 1. března 2001.,,,,,
,,,"Lexicalisation: NR Pogson, who died in Chennai, was an Englishman born in Nottingham. He discovered 107 Camilla on 1 March 2001.",,,,,
5,5,a,"Translation:  NR Pogson, který zemřel v Čennaí, byl Angličan narozený v Nottinghamu. 1. března 2001 objevil 107 Camilla.",,,,,
,,,"Lexicalisation: The British N.R. Pogson, the discoverer of the asteroid 107 Camilla, was born in Nottingham and died in Chennai. He made the discovery of the asteroid on March 1st, 2001.",,,,,
5,5,a,"Translation:  Brit N. R. Pogson, objevitel planetky 107 Camilla, se narodil v Nottinghamu a zemřel v Čennaí. Planetku objevil 1. března 2001.",,,,,
