"4,934065934","4,373626374",,91,google translate,,překlad ok,celkem vět,podíl ok
5,5,a,Translation:  Společnost Trane byla založena v La Crosse ve Wisconsinu.,,,,,
,,,"RDF triples:  ['Austin,_Texas | populationDensity | 1296.65 (inhabitants per square kilometre)', 'Austin,_Texas | areaTotal | 703.95 (square kilometres)']",,,,,
,,,"Lexicalisation: The population density of Austin, Texas, is 1296.65 inhabitants per sq km and its area is 703.95 sq. km.",,,,,
5,5,a,"Translation:  Hustota obyvatelstva Austinu v Texasu je 1296,65 obyvatel na km2 a jeho rozloha je 703,95 km2.",,,,,
,,,"Lexicalisation: Austin, Texas covers an area of 703.95 square kilometres and has 1296.65 inhabitants for each of those sq kilometres.",,,,,
5,4,c,"Translation:  Austin v Texasu se rozkládá na ploše 703,95 kilometrů čtverečních a má 1296,65 obyvatel na každý z těchto kilometrů čtverečních.",,,,,
,,,"Lexicalisation: Austin, Texas has a population density of 1296.65 inhabitants per sq km and a total area of 703.95 square kilometres.",,,,,
5,5,a,"Translation:  Austin, Texas má hustotu obyvatelstva 1296,65 obyvatel na km2 a celkovou plochu 703,95 km2.",,,,,
,,,"RDF triples:  ['Agremiação_Sportiva_Arapiraquense | league | Campeonato_Brasileiro_Série_C', 'Campeonato_Brasileiro_Série_C | country | Brazil', 'Agremiação_Sportiva_Arapiraquense | manager | Vica']",,,,,
,,,Lexicalisation: Agremiação Sportiva Arapiraquense are managed by Vica and play in the Campeonato Brasileiro Série C league in Brazil.,,,,,
5,4,c,Translation:  Agremiação Sportiva Arapiraquense je řízena Vica a hrají v Campeonato Brasileiro Série C ligy v Brazílii.,,,,,
,,,Lexicalisation: Agremiação Sportiva Arapiraquense play in Brazil's Campeonato Brasileiro Série C league and are managed by Vica.,,,,,
5,5,a,Translation:  Agremiação Sportiva Arapiraquense hrají v brazilské lize Campeonato Brasileiro Série C a řídí je Vica.,,,,,
,,,"RDF triples:  ['AIP_Advances | abbreviation | ""AIP Adv.""']",,,,,
,,,"Lexicalisation: ""AIP Adv."" is the abbreviation of AIP Advances.",,,,,
5,5,a,"Translation:  ""AIP Adv."" je zkratka AIP Advances.",,,,,
,,,Lexicalisation: AIP Advances is abbreviated to AIP Adv.,,,,,
4,5,c,Translation:  AIP Advances je zkráceno na AIP Adv.,,,,,
,,,"RDF triples:  ['American_Civil_War | commander | Jefferson_Davis', 'Battle_of_Salem_Church | isPartOfMilitaryConflict | American_Civil_War', 'Aaron_S._Daggett | battle | Battle_of_Salem_Church']",,,,,
,,,"Lexicalisation: Aaron S Daggett took part in the Battle of Salem Church, which was part of the American Civil War, where Jefferson Davis was a commander.",,,,,
5,5,a,"Translation:  Aaron S Daggett se zúčastnil bitvy u kostela Salem, která byla součástí americké občanské války, kde byl velitelem Jefferson Davis.",,,,,
,,,"Lexicalisation: Aaron S. Daggett fought in the Battle of Salem Church, in the American Civil War. Jefferson Davis was one of the commanders in the war.",,,,,
5,4,c,Translation:  Aaron S. Daggett bojoval v bitvě u Salem Church v americké občanské válce. Jefferson Davis byl jedním z velitelů ve válce.,,,,,
,,,Lexicalisation: Jefferson Davis was a commander in the American Civil War of which the Battle of Salem Church was part and in which Aaron S Daggett fought.,,,,,
5,5,a,"Translation:  Jefferson Davis byl velitelem v americké občanské válce, jejíž součástí byla bitva u Salem Church a ve které bojoval Aaron S Daggett.",,,,,
,,,"RDF triples:  ['United_States | leader | Barack_Obama', 'A_Severed_Wasp | language | English_language', 'English_language | spokenIn | Great_Britain', 'A_Severed_Wasp | country | United_States']",,,,,
,,,"Lexicalisation: A Severed Wasp is from the United States, where the leader is Barack Obama. A Severed Wasp is written in English which is the language spoken in Great Britain.",,,,,
,,,"Translation:  A Severed Wasp pochází ze Spojených států, kde je vůdcem Barack Obama. A Severed Wasp je napsán v angličtině, což je jazyk, kterým se mluví ve Velké Británii.",,,,,
,,,"Lexicalisation: A Severed Wasp is from the United States, which president is Barack Obama, and it is in English language, which is spoken as well in Great Britain.",,,,,
,,,"Translation:  A Severed Wasp pochází ze Spojených států, jejichž prezidentem je Barack Obama, a je v angličtině, kterou se mluví i ve Velké Británii.",,,,,
,,,Lexicalisation: The president of the United States is Barack Obama and is the origin of A Severed Wasp. A Severed Wasp is written in English (also spoken in Great Britain).,,,,,
,,,Translation:  Prezident Spojených států je Barack Obama a je původcem A Severed Wasp. A Severed Wasp je napsán v angličtině (také používaný ve Velké Británii).,,,,,
,,,RDF triples:  ['Marv_Wolfman | award | Inkpot_Award'],,,,,
,,,Lexicalisation: Marv Wolfman won the Inkpot Award.,,,,,
,,,Translation:  Marv Wolfman vyhrál Inkpot Award.,,,,,
,,,Lexicalisation: Marv Wolfman was awarded the Inkpot Award.,,,,,
,,,Translation:  Marv Wolfman byl oceněn Inkpot Award.,,,,,
,,,"RDF triples:  ['1000_Piazzia | epoch | 2015-06-27', '1000_Piazzia | formerName | ""1923 NZ1951 OB""']",,,,,
,,,Lexicalisation: The epoch of 1000 Piazzia-formerly known as 1923 NZ1951OB -is 2015-06-27.,,,,,
,,,Translation:  Epocha 1000 Piazzia – dříve známá jako 1923 NZ1951OB – je 27.06.2015.,,,,,
,,,"Lexicalisation: 1000 Piazzia was formerly called ""1923 NZ1951 OB"" and has the epoch date of 27 June 2015.",,,,,
,,,Translation:  1000 Piazzia se dříve nazývala „1923 NZ1951 OB“ a má datum epochy 27. června 2015.,,,,,
,,,"Lexicalisation: 1000 Piazzia, formerly known as 1923NZ1951 OB, has an epoch of 2015-06-27.",,,,,
,,,"Translation:  1000 Piazzia, dříve známá jako 1923NZ1951 OB, má epochu 2015-06-27.",,,,,
,,,"RDF triples:  ['Acharya_Institute_of_Technology | country | ""India""', 'Acharya_Institute_of_Technology | numberOfPostgraduateStudents | 700', 'Acharya_Institute_of_Technology | campus | ""In Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090.""']",,,,,
,,,"Lexicalisation: The Acharya Institute of Technology is in Soldevanahalli, India its address is Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090. It has 700 postgraduate students.",,,,,
,,,"Translation:  Acharya Institute of Technology je v Soldevanahalli, Indie, jeho adresa je Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore – 560090. Má 700 postgraduálních studentů.",,,,,
,,,"Lexicalisation: The Acharya Institute of Technology has 700 post-graduate students and is located in Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore, India, 560090.",,,,,
,,,"Translation:  Acharya Institute of Technology má 700 postgraduálních studentů a sídlí v Soldevanahalli, Acharya Dr. Sarvapalli Radhakrishnan Road, Hessarghatta Main Road, Bangalore, Indie, 560090.",,,,,
,,,RDF triples:  ['Appleton_International_Airport | 1stRunwayLengthFeet | 8002'],,,,,
,,,Lexicalisation: Appleton International Airport is 1st 8002 runway length.,,,,,
,,,Translation:  Mezinárodní letiště Appleton má 1. délku dráhy 8002.,,,,,
,,,Lexicalisation: The first runway of Appleton International Airport has a length of 8002 feet.,,,,,
,,,Translation:  První ranvej mezinárodního letiště Appleton má délku 8002 stop.,,,,,
,,,Lexicalisation: The 1st runway length in feet of Appleton International Airport is 8002.,,,,,
,,,Translation:  Délka 1. dráhy ve stopách mezinárodního letiště Appleton je 8002.,,,,,
,,,"RDF triples:  ['AC_Hotel_Bella_Sky_Copenhagen | tenant | Marriott_International', 'AC_Hotel_Bella_Sky_Copenhagen | location | Copenhagen', 'AC_Hotel_Bella_Sky_Copenhagen | architect | 3XN']",,,,,
,,,Lexicalisation: The tenant of the AC Hotel Bella Sky (designed by architect 3XN) in Copenhagen is the Marriott International Hotel.,,,,,
,,,Translation:  Nájemcem AC Hotelu Bella Sky (navrženého architektem 3XN) v Kodani je Marriott International Hotel.,,,,,
,,,Lexicalisation: Marriott International is the tenant of AC Hotel Bella Sky in Copenhagen and the architect was 3XN.,,,,,
,,,Translation:  Marriott International je nájemcem AC Hotel Bella Sky v Kodani a architektem byl 3XN.,,,,,
,,,Lexicalisation: The architect of the AC Hotel Bella Sky in Copenhagen was 3XN and the tenant of the hotel is the Marriott International Hotel.,,,,,
,,,Translation:  Architektem AC Hotelu Bella Sky v Kodani byla společnost 3XN a nájemcem hotelu je Marriott International Hotel.,,,,,
,,,"RDF triples:  ['Java | ethnicGroup | Javanese_people', 'Singapore | leader | Halimah_Yacob', 'Ayam_penyet | region | Singapore', 'Ayam_penyet | country | Java']",,,,,
,,,"Lexicalisation: The Javanese people are an ethnic group of Java. Singapore's leader is Halimah Yacob. Ayam penyet is a dish from Java, Singapore.",,,,,
,,,Translation:  Jávští lidé jsou etnickou skupinou Jávy. Singapurským lídrem je Halimah Yacob. Ayam penyet je pokrm z Jávy v Singapuru.,,,,,
,,,Lexicalisation: Ayam penyet is from the Java and Singapore regions. The Javanese people are an ethnic group of Java and Halimah Yacob is a leader of Singapore.,,,,,
,,,Translation:  Ayam penyet pochází z regionů Jáva a Singapur. Jávští lidé jsou etnickou skupinou Jávy a Halimah Yacob je vůdcem Singapuru.,,,,,
,,,"RDF triples:  ['Alan_Bean | mission | Apollo_12', 'Apollo_12 | operator | NASA', 'Alan_Bean | occupation | Test_pilot', 'Alan_Bean | birthPlace | Wheeler,_Texas', 'Alan_Bean | status | ""Retired""', 'Alan_Bean | birthDate | ""1932-03-15""', 'Alan_Bean | almaMater | ""UT Austin, B.S. 1955""']",,,,,
,,,"Lexicalisation: Alan Bean was born on March 15, 1932 in Wheeler Texas. He graduated from UT Austin with a BSc. in 1955. Bean worked as a test pilot and was part of Apollo 12, which was run by NASA. He is retired.",,,,,
,,,"Translation:  Alan Bean se narodil 15. března 1932 ve Wheeler Texas. Vystudoval UT Austin s titulem BSc. v roce 1955. Bean pracoval jako zkušební pilot a byl součástí Apolla 12, které řídila NASA. Je v důchodu.",,,,,
,,,"Lexicalisation: Alan Bean was born in Wheeler, Texas on March 15th, 1932. He graduated from UT Austin in 1955 with a B.S. He is a retired test pilot, who was on the crew of the NASA-operated Apollo 12.",,,,,
,,,"Translation:  Alan Bean se narodil ve Wheeleru v Texasu 15. března 1932. Vystudoval UT Austin v roce 1955 s titulem B.S. Je to bývalý testovací pilot, který byl v posádce Apolla 12 provozovaného NASA.",,,,,
,,,"Lexicalisation: Alan Bean was born on March 15, 1932 in Wheeler Texas. He graduated from UT Austin in 1955 with a B.S and became a Test Pilot. He was part of the Apollo 12 crew for NASA and is now retired.",,,,,
,,,Translation:  Alan Bean se narodil 15. března 1932 ve Wheeler Texas. Vystudoval UT Austin v roce 1955 s B.S a stal se zkušebním pilotem. Byl součástí posádky Apolla 12 pro NASA a nyní je v důchodu.,,,,,
,,,"RDF triples:  ['Abilene,_Texas | populationDensity | 429.9 (inhabitants per square kilometre)']",,,,,
,,,"Lexicalisation: The total population density of Abilene, Texas is 429.9 inhabitants per sq km.",,,,,
,,,"Translation:  Celková hustota obyvatelstva Abilene, Texas je 429,9 obyvatel na km čtvereční.",,,,,
,,,"Lexicalisation: Abilene, Texas has a population density of 429.9 inhabitants per square kilometre.",,,,,
,,,"Translation:  Abilene, Texas má hustotu obyvatelstva 429,9 obyvatel na kilometr čtvereční.",,,,,
,,,"Lexicalisation: Abilene, Texas, has a population density of 429.9 (inhabitants per square kilometre).",,,,,
,,,"Translation:  Abilene, Texas, má hustotu obyvatelstva 429,9 (obyvatel na kilometr čtvereční).",,,,,
,,,"RDF triples:  ['Al-Taqaddum_Air_Base | runwayLength | 4019.0', 'Al-Taqaddum_Air_Base | cityServed | Fallujah', 'Al-Taqaddum_Air_Base | elevationAboveTheSeaLevel | 84.0', 'Al-Taqaddum_Air_Base | location | Habbaniyah']",,,,,
,,,Lexicalisation: Al-Taqaddum Air Base serves the city of Fallujah and is located in Habbaniyah. The airbase is 84 metres above sea level and has a runway length of 4019.,,,,,
,,,Translation:  Letecká základna Al-Taqaddum slouží městu Fallúdža a nachází se v Habbaniyah. Letecká základna je 84 metrů nad mořem a má délku dráhy 4019.,,,,,
,,,Lexicalisation: The Al Taqaddum Air Base serves the city of Fallujah and is located in Habbaniyah. Its runway is 4019 long and is 84 meters above sea level.,,,,,
,,,Translation:  Letecká základna Al Taqaddum slouží městu Fallúdža a nachází se v Habbaniyah. Jeho dráha je dlouhá 4019 a je 84 metrů nad mořem.,,,,,
,,,"Lexicalisation: Al Taqaddum Air Base located in Habbaniyah, serves the city of Fallujah. It is 84.0 metres above sea level. Its runway is 4,019 long.",,,,,
,,,"Translation:  Letecká základna Al Taqaddum v Habbaniyah slouží městu Fallúdža. Je 84,0 metrů nad mořem. Jeho dráha je dlouhá 4 019.",,,,,
,,,RDF triples:  ['Armin_van_Buuren | genre | House_music'],,,,,
,,,Lexicalisation: Armin van Buuren plays House music.,,,,,
,,,Translation:  Armin van Buuren hraje house music.,,,,,
,,,Lexicalisation: Armin van Buuren's genre is House music.,,,,,
,,,Translation:  Žánrem Armina van Buurena je house music.,,,,,
,,,Lexicalisation: Armin van Buuren performs house music.,,,,,
,,,Translation:  Armin van Buuren hraje house music.,,,,,
,,,"RDF triples:  ['Ashgabat_International_Airport | operatingOrganisation | Turkmenistan_Airlines', 'Turkmenistan_Airlines | headquarter | Turkmenistan', 'Ashgabat_International_Airport | runwayLength | 900.0', 'Turkmenistan_Airlines | hubAirport | Turkmenabat_Airport', 'Turkmenistan_Airlines | headquarter | Ashgabat']",,,,,
,,,Lexicalisation: Turkmenistan airlines have their HQ in Turkmenistan and Ashgabat and their hub at Turkmenabat airport. They are the operating organisation for Ashgabat International Airport which has a runway length of 900.0.,,,,,
,,,"Translation:  Turkmenistánské aerolinie mají své ústředí v Turkmenistánu a Ašchabadu a svůj hub na letišti Turkmenabat. Jsou provozní organizací pro mezinárodní letiště Ašchabad, které má délku dráhy 900,0.",,,,,
,,,"Lexicalisation: The operating organization for Ashgabat International Airport is called Turkmenistan Airlines whose headquarters is in Ashgabat, Turkmenistan. Its runway length is 900 m. Turkmenabat airport is the hub for Turkmenistan airlines.",,,,,
,,,"Translation:  Provozní organizace pro mezinárodní letiště Ašchabad se nazývá Turkmenistan Airlines, jejíž sídlo je v Ašchabadu v Turkmenistánu. Délka jeho dráhy je 900 m. Letiště Turkmenabat je uzlem pro turkmenistánské letecké společnosti.",,,,,
,,,"Lexicalisation: The operating organization for Ashgabat International Airport is called Turkmenistan Airlines; the Turkmenabat Airport is the hub for the Airline. The headquarters of Turkmenistan Airlines are in Ashgabat, Turkmenistan. The Airport has a runway length of 900.0.",,,,,
,,,"Translation:  Provozní organizace pro mezinárodní letiště Ašchabad se nazývá Turkmenistan Airlines; letiště Turkmenabat je centrem letecké společnosti. Centrála Turkmenistan Airlines je v Ašchabadu v Turkmenistánu. Letiště má délku dráhy 900,0.",,,,,
,,,"RDF triples:  ['Appleton,_Wisconsin | isPartOf | Kimberly,_Wisconsin']",,,,,
,,,"Lexicalisation: Appleton, Wisconsin is part of Kimberly, Wisconsin.",,,,,
,,,"Translation:  Appleton, Wisconsin je součástí Kimberly, Wisconsin.",,,,,
,,,"RDF triples:  ['107_Camilla | discoverer | N._R._Pogson', 'N._R._Pogson | deathPlace | Chennai', 'N._R._Pogson | birthPlace | Nottingham', '107_Camilla | discovered | 2001-03-01', 'N._R._Pogson | nationality | England']",,,,,
,,,Lexicalisation: The British NR Pogson (born Nottingham died Chennai) discovered 107 Camilla on 1 March 2001.,,,,,
,,,Translation:  Britský NR Pogson (narozen Nottingham zemřel Chennai) objevil 107 Camilla dne 1. března 2001.,,,,,
,,,"Lexicalisation: NR Pogson, who died in Chennai, was an Englishman born in Nottingham. He discovered 107 Camilla on 1 March 2001.",,,,,
,,,"Translation:  NR Pogson, který zemřel v Chennai, byl Angličan narozený v Nottinghamu. 1. března 2001 objevil 107 Camilly.",,,,,
,,,"Lexicalisation: The British N.R. Pogson, the discoverer of the asteroid 107 Camilla, was born in Nottingham and died in Chennai. He made the discovery of the asteroid on March 1st, 2001.",,,,,
,,,"Translation:  Britský N.R. Pogson, objevitel asteroidu 107 Camilla, se narodil v Nottinghamu a zemřel v Chennai. Asteroid objevil 1. března 2001.",,,,,
